PC,RU,GEW,CU,Ll,LD,Oth,count,probability
2,2,1,0,0,1,0,166,0.166
3,1,1,0,0,1,0,114,0.114
3,2,1,0,0,0,0,79,0.079
2,1,1,1,0,1,0,65,0.065
3,2,0,0,0,1,0,55,0.055
2,2,1,1,0,0,0,45,0.045
2,3,1,0,0,0,0,34,0.034
2,1,2,0,0,1,0,32,0.032
2,1,1,0,0,2,0,29,0.029
2,2,0,1,0,1,0,28,0.028
1,2,1,1,0,1,0,27,0.027
2,3,0,0,0,1,0,22,0.022
3,1,1,1,0,0,0,22,0.022
2,2,2,0,0,0,0,19,0.019
3,2,0,1,0,0,0,15,0.015
1,3,1,0,0,1,0,14,0.014
3,1,0,1,0,1,0,13,0.013
2,2,0,0,0,2,0,13,0.013
4,1,1,0,0,0,0,11,0.011
4,1,0,0,0,1,0,11,0.011
1,2,1,0,0,2,0,11,0.011
3,3,0,0,0,0,0,11,0.011
2,1,1,0,1,1,0,11,0.011
1,2,2,0,0,1,0,10,0.01
2,2,1,0,1,0,0,9,0.009
4,2,0,0,0,0,0,9,0.009
3,1,2,0,0,0,0,7,0.007
2,1,1,1,1,0,0,7,0.007
3,1,0,0,0,2,0,7,0.007
2,1,0,1,0,2,0,5,0.005
2,1,1,0,0,1,1,5,0.005
1,2,2,1,0,0,0,5,0.005
2,2,0,0,1,1,0,5,0.005
2,1,2,1,0,0,0,5,0.005
2,1,1,2,0,0,0,5,0.005
3,1,0,0,1,1,0,4,0.004
1,2,1,1,1,0,0,4,0.004
2,2,1,0,0,0,1,4,0.004
2,2,0,0,0,1,1,3,0.003
1,1,1,1,0,2,0,3,0.003
1,3,2,0,0,0,0,3,0.003
2,1,0,1,1,1,0,3,0.003
4,1,0,1,0,0,0,3,0.003
2,3,0,1,0,0,0,3,0.003
3,1,1,0,1,0,0,3,0.003
2,1,3,0,0,0,0,2,0.002
1,1,2,1,0,1,0,2,0.002
1,3,1,1,0,0,0,2,0.002
2,2,0,1,0,0,1,2,0.002
2,1,1,1,0,0,1,2,0.002
2,0,1,1,0,2,0,1,0.001
2,3,0,0,0,0,1,1,0.001
1,4,0,0,0,1,0,1,0.001
1,2,1,1,0,0,1,1,0.001
0,2,2,0,1,1,0,1,0.001
4,1,0,0,1,0,0,1,0.001
0,2,1,2,0,0,1,1,0.001
3,0,2,0,0,1,0,1,0.001
4,0,1,0,1,0,0,1,0.001
2,1,2,0,1,0,0,1,0.001
1,1,1,2,0,1,0,1,0.001
1,1,2,0,0,2,0,1,0.001
2,1,0,2,0,1,0,1,0.001
4,0,1,0,0,1,0,1,0.001
1,1,1,0,0,2,1,1,0.001
2,0,3,0,0,1,0,1,0.001
2,4,0,0,0,0,0,1,0.001
2,0,1,1,1,1,0,1,0.001
2,1,0,0,0,2,1,1,0.001
3,1,1,0,0,0,1,1,0.001
1,2,1,2,0,0,0,1,0.001
1,2,0,1,1,1,0,1,0.001
1,1,1,1,1,1,0,1,0.001
3,1,0,2,0,0,0,1,0.001
1,2,1,0,2,0,0,1,0.001
4,0,2,0,0,0,0,1,0.001
1,1,2,0,1,1,0,1,0.001
1,2,1,0,0,1,1,1,0.001
4,1,0,0,0,0,1,1,0.001
1,2,1,0,1,1,0,1,0.001
3,2,0,0,1,0,0,1,0.001
