list,seats,probability
PC,0,0.0
PC,1,0.001
PC,2,0.805
PC,3,0.194
PC,4,0.0
PC,5,0.0
PC,6,0.0
RU,0,0.0
RU,1,0.209
RU,2,0.789
RU,3,0.002
RU,4,0.0
RU,5,0.0
RU,6,0.0
GEW,0,0.021
GEW,1,0.976
GEW,2,0.003
GEW,3,0.0
GEW,4,0.0
GEW,5,0.0
GEW,6,0.0
CU,0,0.886
CU,1,0.114
CU,2,0.0
CU,3,0.0
CU,4,0.0
CU,5,0.0
CU,6,0.0
Ll,0,1.0
Ll,1,0.0
Ll,2,0.0
Ll,3,0.0
Ll,4,0.0
Ll,5,0.0
Ll,6,0.0
LD,0,0.082
LD,1,0.918
LD,2,0.0
LD,3,0.0
LD,4,0.0
LD,5,0.0
LD,6,0.0
Oth,0,1.0
Oth,1,0.0
Oth,2,0.0
Oth,3,0.0
Oth,4,0.0
Oth,5,0.0
Oth,6,0.0
